module	address	old_name	new_name	kind	basis	rom_rtti	danger_old_still_live_on_main	port_at_address	main_at_address	n_files	port_files
ov091	0x02135150	Thwomp_SpawnInfo	g_profile_DOSUN	plain	one main-only spelling of the same kind	-	-	Thwomp_SpawnInfo	g_profile_DOSUN	3	port/hal/actor_classes.inc;port/ov091_syms.txt;port/slice_gate72.txt
ov091	0x021351fc	data_ov091_021351fc	_ZTV11daDsnBase_c	data	the one main-only spelling at the address	-	-	data_ov091_021351fc	_ZTV11daDsnBase_c	3	port/hal/actor_classes_l7.cpp;port/ov091_syms.txt;port/slice_w3f2.txt
ov091	0x0213527c	data_ov091_0213527c	_ZTI11daObjPile_c	data	the one main-only spelling at the address	-	-	data_ov091_0213527c	_ZTI11daObjPile_c	1	port/ov091_syms.txt
ov091	0x02135288	data_ov091_02135288	_ZTS11daObjPile_c	data	the one main-only spelling at the address	-	-	data_ov091_02135288	_ZTS11daObjPile_c	1	port/ov091_syms.txt
ov091	0x02135298	Stump_SpawnInfo	g_profile_PILE	plain	one main-only spelling of the same kind	-	-	Stump_SpawnInfo	g_profile_PILE	5	port/hal/actor_classes.inc;port/hal/actor_classes_bob_enemy.cpp;port/hal/actor_classes_ov091.cpp;port/ov091_syms.txt;port/slice_gate32.txt
ov091	0x021352bc	data_ov091_021352bc	_ZTV5Stump	data	the one main-only spelling at the address	-	-	data_ov091_021352bc	_ZTV5Stump	4	port/ov091_syms.txt;port/slice_w3f2.txt;port/tools/inferred_stub_adjudicated.txt;port/tools/vtspan.py
ov091	0x0213536c	data_ov091_0213536c	_ZTI10daHyuhyu_c	data	the one main-only spelling at the address	-	-	data_ov091_0213536c	_ZTI10daHyuhyu_c	1	port/ov091_syms.txt
ov091	0x02135378	data_ov091_02135378	_ZTS10daHyuhyu_c	data	the one main-only spelling at the address	-	-	data_ov091_02135378	_ZTS10daHyuhyu_c	1	port/ov091_syms.txt
ov091	0x02135388	Fwoosh_SpawnInfo	g_profile_HYUHYU	plain	one main-only spelling of the same kind	-	-	Fwoosh_SpawnInfo	g_profile_HYUHYU	5	port/CMakeLists.txt;port/hal/actor_classes.inc;port/hal/actor_classes_ov091.cpp;port/ov091_syms.txt;port/slice_w3f2.txt
ov091	0x021353ac	_ZTV5Stump	_ZTV10daHyuhyu_c	vtable	ROM RTTI at V-4 reads '10daHyuhyu_c' and main carries _ZTV10daHyuhyu_c here	10daHyuhyu_c	ov091:0x021352bc	_ZTV10daHyuhyu_c;_ZTV5Stump	_ZTV6Fwoosh;_ZTV10daHyuhyu_c	7	port/hal/actor_classes.inc;port/hal/actor_classes_bob_enemy.cpp;port/hal/actor_classes_ov091.cpp;port/ov091_syms.txt;port/slice_gate32.txt;port/slice_w3f2.txt;port/tools/inferred_stub_adjudicated.txt
ov092	0x02132018	ToxBox_Spawn	daOnms_c_classInit	plain	one main-only spelling of the same kind	-	-	ToxBox_Spawn	daOnms_c_classInit	4	port/hal/actor_classes.inc;port/hal/actor_classes_ov092.cpp;port/ov092_syms.txt;port/slice_ov092.txt
ov092	0x02132288	data_ov092_02132288	_ZTS8daOnms_c	data	the one main-only spelling at the address	-	-	data_ov092_02132288	_ZTS8daOnms_c	1	port/ov092_syms.txt
ov092	0x021322a0	data_ov092_021322a0	_ZTI8daOnms_c	data	the one main-only spelling at the address	-	-	data_ov092_021322a0	_ZTI8daOnms_c	1	port/ov092_syms.txt
ov092	0x021322ac	ToxBox_SpawnInfo	g_profile_ONIMASU	plain	one main-only spelling of the same kind	-	-	ToxBox_SpawnInfo	g_profile_ONIMASU	3	port/hal/actor_classes.inc;port/hal/actor_classes_ov092.cpp;port/ov092_syms.txt
ov094	0x02136798	HootTheOwl_Spawn	daOwl_c_classInit	plain	one main-only spelling of the same kind	-	-	HootTheOwl_Spawn	daOwl_c_classInit	3	port/hal/actor_classes.inc;port/hal/actor_classes_ov094.cpp;port/slice_gate194.txt
ov094	0x02136a10	data_ov094_02136a10	_ZTS7daOwl_c	data	the one main-only spelling at the address	-	-	data_ov094_02136a10	_ZTS7daOwl_c	1	port/ov094_syms.txt
ov094	0x02136a28	data_ov094_02136a28	_ZTI7daOwl_c	data	the one main-only spelling at the address	-	-	data_ov094_02136a28	_ZTI7daOwl_c	1	port/ov094_syms.txt
ov094	0x02136a34	HootTheOwl_SpawnInfo	g_profile_OWL	plain	one main-only spelling of the same kind	-	-	HootTheOwl_SpawnInfo	g_profile_OWL	3	port/hal/actor_classes.inc;port/hal/actor_classes_ov094.cpp;port/ov094_syms.txt
ov095	0x021357d8	func_ov095_021357d8	_ZN9SeesawBob15OnGroundPoundedER8dActor_c	func	the one main-only spelling at the address	-	-	func_ov095_021357d8	_ZN9SeesawBob15OnGroundPoundedER8dActor_c	2	port/hal/actor_classes_bob_world.cpp;port/slice_gate83.txt
ov095	0x02135ea4	SeesawRr_Spawn	daObjSeesaw_c_classInit_RC_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawRr_Spawn	daObjSeesaw_c_classInit_RC_SEESAW	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w11.txt
ov095	0x02135ed4	SeesawBsZigZag_Spawn	daObjSeesaw_c_classInit_KM3_YOKOSEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBsZigZag_Spawn	daObjSeesaw_c_classInit_KM3_YOKOSEESAW	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w9d.txt
ov095	0x02135f04	SeesawBsPlank_Spawn	daObjSeesaw_c_classInit_KM3_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBsPlank_Spawn	daObjSeesaw_c_classInit_KM3_SEESAW	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w9d.txt
ov095	0x02135f34	SeesawBfs_Spawn	daObjSeesaw_c_classInit_KM2_YOKOSEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBfs_Spawn	daObjSeesaw_c_classInit_KM2_YOKOSEESAW	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w11.txt
ov095	0x02135f64	SeesawBdw_Spawn	daObjSeesaw_c_classInit_KM1_SEESAW	plain	one main-only spelling of the same kind	-	-	SeesawBdw_Spawn	daObjSeesaw_c_classInit_KM1_SEESAW	3	port/hal/actor_classes.inc;port/ov095_syms.txt;port/slice_w9d.txt
