class_name	state	header_path	base_class	subclass_count	overlays	method_count
daObjKm2_Agaru_c	PARTIAL	include\daObjKm2_Agaru_c.h	dBgActor_c	0	ov045	0
daObjKm2_Ami_Bou_c	DONE	include\PoleLift.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov045	6
daObjKsWater_c	DONE	include\daObjKsWater_c.h	dBgActor_c	0	ov017	6
daObjMcWater_c	DONE	include\daObjMcWater_c.h	dBgActor_c	0	ov009	6
daObjMc_Metalnet_c	DONE	include\daObjMc_Metalnet_c.h	dBgActor_c	0	ov009	7
daObjPile_c	PARTIAL	include\daObjPile_c.h	dBgActor_c	0	ov091	8
daObjPushblock_c	DONE	include\daObjPushblock_c.h	dBgActor_c	0	ov002	9
daObjRcBuranko_c	DONE	include\daObjRcBuranko_c.h	dBgActor_c	0	ov036	6
daObjRc_Guruguru_c	DONE	include\daObjRc_Guruguru_c.h	dBgActor_c	0	ov036	6
daObjRc_Tikuwa_c	MISSING	include/daObjRc_Tikuwa_c.h (MISSING)	dBgActor_c	0	ov036	0
daObjRotateUpdownLift_c	DONE	include\RotatingUpDownPlatformUtm.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov091	8
daObjSeesaw_c	DONE	include\SeesawBob.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov095	7
daObjSimpleBg_c	DONE	include\FortressTower.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov102	6
daObjSimpleLift_c	DONE	include\SlidingPlatformWf.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov091	6
daObjSlIceBlock_c	DONE	include\SlidingIce.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov027	7
daObjSm_Lift_c	PARTIAL	include\daObjSm_Lift_c.h	dBgActor_c	0	ov018	7
daObjSwitch_c	DONE	include\StarSwitch.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov002	7
daObjTatefuda_c	DONE	include\SignPost.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov002	10
daObjTdFuta_c	DONE	include\daObjTdFuta_c.h	dBgActor_c	0	ov032	6
daObjTdWater_c	DONE	include\daObjTdWater_c.h	dBgActor_c	0	ov032	6
daObjTtFuta_c	MISSING	include/daObjTtFuta_c.h (MISSING)	dBgActor_c	0	ov033	0
daObjTtWater_c	DONE	include\TinyWater.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov033	6
daObjWanwanShutter_c	DONE	include\daObjWanwanShutter_c.h	dBgActor_c	0	ov014	6
daObjWc_Mizu_c	DONE	include\daObjWc_Mizu_c.h	dBgActor_c	0	ov029	6
daObjWc_Obj02_c	DONE	include\daObjWc_Obj02_c.h	dBgActor_c	0	ov029	6
daObjWc_Obj04_c	DONE	include\daObjWc_Obj04_c.h	dBgActor_c	0	ov029	6
daObjWc_Obj05_c	DONE	include\daObjWc_Obj05_c.h	dBgActor_c	0	ov029	6
daObjWlKoopaShutter_c	DONE	include\BowserShutter.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov026	6
daObjWlSubmarine_c	DONE	include\Submarine.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov026	5
daObjYajirusi_c	DONE	include\ArrowSignRight.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov098	9
daOnms_c	DONE	include\ToxBox.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov092	6
daPgDfdr_c	DONE	include\daPgDfdr_c.h	dBgActor_c	0	ov027	7
daPiano_c	DONE	include\MadPiano.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov063	6
daSlide_Box_c	DONE	include\SlidingBox.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov016	7
daUdlift_c	DONE	include\UpDownLiftBbh.h  [alias: header uses pre-rename name]	dBgActor_c	0	ov095	6
daOts_c	DONE	include\daOts_c.h	dEnemyBase_c	3	ov064	11
dCapEnemy_c	DONE	include\dCapEnemy_c.h	dEnemyBase_c	2	arm9;ov002	14
da1up_c	DONE	include\OneUpMushroom.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov002	9
daBakubaku_c	DONE	include\daBakubaku_c.h	dEnemyBase_c	0	ov032	8
daBasabasa_c	DONE	include\Swoop.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov065	10
daBbl_c	DONE	include\LavaBubble.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov064	8
daBmb_c	DONE	include\BobOmb.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov102	9
daBombking_c	DONE	include\daBombking_c.h	dEnemyBase_c	0	ov078	8
daBook_c	DONE	include\BookShot.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov020	8
daBtn_c	DONE	include\Whomp.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov079	9
daC_Jugem_c	DONE	include\LakituBro.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov085	7
daChoro_Rock_c	DONE	include\MontyMoleRock.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov080	6
daFPknBall_c	DONE	include\Fireball.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov002	6
daFPkn_c	DONE	include\FirePiranhaPlantBig.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov084	9
daGrock_c	DONE	include\RollingRock.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov021	7
daHanachan_c	DONE	include\Wiggler.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov034	6
daHolhei_c	DONE	include\Chuckya.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov062	8
daHuwa_c	DONE	include\Spindrift.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov081	9
daHyuhyu_c	DONE	include\Fwoosh.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov091	10
daIbl_c	DONE	include\RollingIronBall.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov100	7
daJango_c	DONE	include\Klepto.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov062	8
daKing_Donketu_c	DONE	include\ChiefChilly.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov073	8
daKlr_c	DONE	include\BulletBill.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov079	7
daKpaFire_c	DONE	include\BowserFire.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov060	6
daKuriKing_c	DONE	include\Goomboss.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov074	6
daManta_c	DONE	include\MantaRay.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov090	7
daMenbo_c	DONE	include\Skeeter.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov090	10
daMip_c	DONE	include\Rabbit.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov085	8
daMoray_c	DONE	include\Unagi.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov016	7
daNknk_c	DONE	include\Koopa.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov062	10
daObjKey_c	DONE	include\Key.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov089	8
daObjMarioCap_c	DONE	include\daObjMarioCap_c.h	dEnemyBase_c	0	ov002	9
daObj_Mip_Key_c	DONE	include\RabbitKey.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov085	7
daOwl_c	DONE	include\HootTheOwl.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov094	7
daPkn_c	DONE	include\PiranhaPlant.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov084	8
daPopoi_c	DONE	include\HeaveHo.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov077	7
daPropeller_Heyho_Fire_c	DONE	include\Bullet.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov002	7
daPropeller_Heyho_c	DONE	include\daPropeller_Heyho_c.h	dEnemyBase_c	0	ov070	10
daPukupuku_c	DONE	include\CheepCheep.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov090	7
daRNk_c	DONE	include\KoopaTheQuick.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov062	6
daShark_c	DONE	include\Shark.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov090	7
daShl_c	DONE	include\KoopaShell.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov102	8
daSnowball_c	DONE	include\Snowball.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov081	7
daSnowman_c	DONE	include\MrBlizzard.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov081	8
daStar_c	DONE	include\PowerStar.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov002	9
daTBasket_c	DONE	include\daTBasket_c.h	dEnemyBase_c	0	ov063	6
daWanwan2_c	DONE	include\UnchainedChomp.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov100	8
daWanwan_c	DONE	include\daWanwan_c.h	dEnemyBase_c	0	ov014	6
daWater_Hakidasi_c	DONE	include\JetStream.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov064	7
daWater_Ring_c	DONE	include\WaterRing.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov064	7
daWater_Suikomi_c	DONE	include\WaterSuction.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov026	7
daWater_Tatumaki_c	DONE	include\Whirlpool.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov026	7
daWbm_c	DONE	include\WaterBomb.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov098	6
daYegg_c	DONE	include\YoshiEgg.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov002	6
daYurei_Mucho_c	DONE	include\Snufit.h  [alias: header uses pre-rename name]	dEnemyBase_c	0	ov065	10
dScMgSingle3DBase_c	DONE	include\dScMgSingle3DBase_c.h	dScMgBase_c	13	ov006	8
dScMgD3DBase_c	DONE	include\dScMgD3DBase_c.h	dScMgBase_c	4	ov006	17
dScMgAmida_c	DONE	include\dScMgAmida_c.h	dScMgBase_c	0	ov006	11
dScMgBomroom_c	DONE	include\dScMgBomroom_c.h	dScMgBase_c	0	ov006	6
dScMgCoin_c	DONE	include\dScMgCoin_c.h	dScMgBase_c	0	ov006	6
dScMgCurling2_c	DONE	include\dScMgCurling2_c.h	dScMgBase_c	0	ov006	6
dScMgCurling_c	DONE	include\dScMgCurling_c.h	dScMgBase_c	0	ov006	6
dScMgHanachan_c	DONE	include\dScMgHanachan_c.h	dScMgBase_c	0	ov006	7
dScMgLuigi_c	DONE	include\dScMgLuigi_c.h	dScMgBase_c	0	ov006	7
dScMgPachinko2_c	DONE	include\dScMgPachinko2_c.h	dScMgBase_c	0	ov006	6
dScMgPachinko_c	DONE	include\dScMgPachinko_c.h	dScMgBase_c	0	ov006	6
dScMgPanel_c	DONE	include\dScMgPanel_c.h	dScMgBase_c	0	ov006	6
dScMgSlot1_c	DONE	include\dScMgSlot1_c.h	dScMgBase_c	0	ov006	10
dScMgSmartball_c	DONE	include\dScMgSmartball_c.h	dScMgBase_c	0	ov006	9
dScMgTeresa_c	DONE	include\dScMgTeresa_c.h	dScMgBase_c	0	ov006	8
daObjBk_Ukisima_c	DONE	include\daObjBk_Ukisima_c.h	daObjKaitendai_c	0	ov015	4
daObjFl_Koma_D_c	DONE	include\RotatingPlatformLll.h  [alias: header uses pre-rename name]	daObjKaitendai_c	0	ov022	4
daObjKm3_Kaitendai_c	DONE	include\daObjKm3_Kaitendai_c.h	daObjKaitendai_c	0	ov047	4
daObjRc_Kaitendai_c	DONE	include\daObjRc_Kaitendai_c.h	daObjKaitendai_c	0	ov036	4
daObjWc_Obj07_c	DONE	include\daObjWc_Obj07_c.h	daObjKaitendai_c	0	ov029	4
daObjBk_Fall_Block_c	DONE	include\daObjBk_Fall_Block_c.h	daObjFallBlock_c	0	ov015	4
daObjFl_Fall_Block_c	DONE	include\daObjFl_Fall_Block_c.h	daObjFallBlock_c	0	ov022	4
daObjKm2_Fall_Block_c	DONE	include\daObjKm2_Fall_Block_c.h	daObjFallBlock_c	0	ov045	4
daObjTh_Fall_Block_c	DONE	include\FallBlockBbh.h  [alias: header uses pre-rename name]	daObjFallBlock_c	0	ov063	4
daObjKm1_Dorifu_c	DONE	include\daObjKm1_Dorifu_c.h	daObjDorifu_c	0	ov043	4
daObjKm3_Dorifu_c	DONE	include\daObjKm3_Dorifu_c.h	daObjDorifu_c	0	ov047	4
daObjRc_Dorifu_c	DONE	include\daObjRc_Dorifu_c.h	daObjDorifu_c	0	ov036	4
daObjKi_Ita_c	DONE	include\daObjKi_Ita_c.h	daObjFloatBoard_c	0	ov016	3
daObjWcObj01_c	DONE	include\daObjWcObj01_c.h	daObjFloatBoard_c	0	ov029	3
daObjWcObj06_c	DONE	include\daObjWcObj06_c.h	daObjFloatBoard_c	0	ov029	3
daObjPathLift_c	DONE	include\daObjPathLift_c.h	dPathLiftActor_c	0	ov100	6
daObjRcCarpet_c	DONE	include\daObjRcCarpet_c.h	dPathLiftActor_c	0	ov036	6
daDkk_c	DONE	include\daDkk_c.h	daDsnBase_c	0	ov025	5
daDsn_c	PARTIAL	include\daDsn_c.h	daDsnBase_c	0	ov091	6
daObjFl_Gura_c	DONE	include\daObjFl_Gura_c.h	daObjGuragura_c	0	ov064	4
daObjKm2_Gura_c	DONE	include\daObjKm2_Gura_c.h	daObjGuragura_c	0	ov045	4
daObjKm1_Kuruma_c	DONE	include\daObjKm1_Kuruma_c.h	daObjKuruma_c	0	ov043	4
daObjKm3_Kuruma_c	DONE	include\daObjKm3_Kuruma_c.h	daObjKuruma_c	0	ov047	4
daObjKm1_Kurumajiku_c	DONE	include\RickshawBdw.h  [alias: header uses pre-rename name]	daObjKurumajiku_c	0	ov043	4
daObjKm3_Kurumajiku_c	DONE	include\daObjKm3_Kurumajiku_c.h	daObjKurumajiku_c	0	ov047	4
daObjFlMaruta_c	DONE	include\RollingLogLll.h  [alias: header uses pre-rename name]	daObjMaruta_c	0	ov022	5
daObjHmMaruta_c	PARTIAL	include\daObjHmMaruta_c.h	daObjMaruta_c	0	ov030	5
daObjBSwdoor_c	DONE	include\daObjBSwdoor_c.h	daObjSwdoor_c	0	ov014	5
daObjCvShutter_c	DONE	include\daObjCvShutter_c.h	daObjSwdoor_c	0	ov021	5
daObjFl_Ukiyuka_c	DONE	include\FloatingFloorLllSmall.h  [alias: header uses pre-rename name]	daObjUkiyuka_c	0	ov022	4
daObjKm2_Ukishima_c	DONE	include\FloatingFloorBfs.h  [alias: header uses pre-rename name]	daObjUkiyuka_c	0	ov045	4
daBDonketu_c	DONE	include\BigBully.h  [alias: header uses pre-rename name]	daOts_c	0	ov064	7
daDonketu_c	DONE	include\Bully.h  [alias: header uses pre-rename name]	daOts_c	0	ov064	10
daIDonketu_c	DONE	include\daIDonketu_c.h	daOts_c	0	ov027	6
daKrb_c	DONE	include\daKrb_c.h	dCapEnemy_c	0	ov084	9
daTrs_c	DONE	include\daTrs_c.h	dCapEnemy_c	0	ov063	9
dScMg3DEsp_c	DONE	include\dScMg3DEsp_c.h	dScMgSingle3DBase_c	0	ov006	8
dScMgBSC_c	DONE	include\dScMgBSC_c.h	dScMgSingle3DBase_c	0	ov006	8
dScMgCard_c	DONE	include\dScMgCard_c.h	dScMgSingle3DBase_c	0	ov006	9
dScMgCup_c	DONE	include\dScMgCup_c.h	dScMgSingle3DBase_c	0	ov006	7
dScMgFlower_c	DONE	include\dScMgFlower_c.h	dScMgSingle3DBase_c	0	ov006	6
dScMgMCarlo2_c	DONE	include\dScMgMCarlo2_c.h	dScMgSingle3DBase_c	0	ov006	8
dScMgMCarlo_c	DONE	include\dScMgMCarlo_c.h	dScMgSingle3DBase_c	0	ov006	7
dScMgMemory2_c	DONE	include\dScMgMemory2_c.h	dScMgSingle3DBase_c	0	ov006	8
dScMgMemory_c	DONE	include\dScMgMemory_c.h	dScMgSingle3DBase_c	0	ov006	8
dScMgRoulette_c	DONE	include\dScMgRoulette_c.h	dScMgSingle3DBase_c	0	ov006	8
dScMgSlot3_c	DONE	include\dScMgSlot3_c.h	dScMgSingle3DBase_c	0	ov006	9
dScMgSnowball_c	DONE	include\dScMgSnowball_c.h	dScMgSingle3DBase_c	0	ov006	10
dScMgSound_c	DONE	include\dScMgSound_c.h	dScMgSingle3DBase_c	0	ov006	7
dScMgJump2_c	DONE	include\dScMgJump2_c.h	dScMgD3DBase_c	0	ov006	8
dScMgJump_c	DONE	include\dScMgJump_c.h	dScMgD3DBase_c	0	ov006	8
dScMgTrampoline2_c	DONE	include\dScMgTrampoline2_c.h	dScMgD3DBase_c	0	ov006	12
dScMgTrampoline_c	DONE	include\dScMgTrampoline_c.h	dScMgD3DBase_c	0	ov006	12
