class_name	state	header_path	base_class	subclass_count	overlays	method_count
dCcPos_c	DONE	include\dCcPos_c.h	dCc_c	0	arm9	6
dMgTrmpRingObjAdapter_c	MISSING	include/dMgTrmpRingObjAdapter_c.h (MISSING)	dMgTrmpObjAdapter_c	1	ov006	0
dMgTrmpln3DMario_c	MISSING	include/dMgTrmpln3DMario_c.h (MISSING)	dMgTrmpObjAdapter_c	0	ov006	0
dMgPsOpt_c::TouchIcon_c	DONE	include\dMgPsOpt_c.h  [alias: header uses pre-rename name]	dThIcon_c	0	ov004	0
dScEntry_c::icon_c	DONE	include\dScEntry_c.h  [alias: header uses pre-rename name]	dThIcon_c	0	ov075	0
dScMgSlot1_c::betIcon_c	DONE	include\dScMgSlot1_c.h  [alias: header uses pre-rename name]	dThIcon_c	0	ov006	0
abi::__class_type_info	MISSING	include/abi.h (outer header, nested class MISSING)	std::type_info	2	arm9	0
daDemo_c::anmModel_c	MISSING	include\CutsceneObject.h  [alias: header uses pre-rename name]	daDemo_c::param_c	0		0
daDemo_c::simpleModel_c	MISSING	include\CutsceneObject.h  [alias: header uses pre-rename name]	daDemo_c::param_c	0		0
mHeap::ExpHeap_t	MISSING	include/mHeap.h (outer header, nested class MISSING)	mHeap::Heap_t	0	arm9	0
mHeap::SolidHeap_t	MISSING	include/mHeap.h (outer header, nested class MISSING)	mHeap::Heap_t	0	arm9	0
dMgJump3DMario_c	DONE	include\dMgJump3DMario_c.h	dMg3DHeyhoObjAdapter_c	0	ov006	5
dMgDilarCardObj_c	MISSING	include/dMgDilarCardObj_c.h (MISSING)	dMgCardObj_c	0	ov006	0
dActor_c	DONE	include\dActor_c.h	dBase_c	95	arm9	81
dScene_c	DONE	include\dScene_c.h	dBase_c	10	arm9	19
dView_c	DONE	include\View.h  [alias: header uses pre-rename name]	dBase_c	1	arm9	3
dEntObj_c	DONE	include\UnknownVsEntry.h  [alias: header uses pre-rename name]	dBase_c	0	ov075	6
dMap_c	DONE	include\Minimap.h  [alias: header uses pre-rename name]	dBase_c	0	ov002	11
dMeter_c	DONE	include\HUD.h  [alias: header uses pre-rename name]	dBase_c	0	ov002	19
dPa_c::level_c::bubbleCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::simpleCallback_c	0		0
dPa_c::level_c::checkYoganCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::simpleCallback_c	0	arm9	0
dPa_c::level_c::edStarKiraCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::simpleCallback_c	0	arm9	0
dPa_c::level_c::fitWaterSimpleCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::simpleCallback_c	0	arm9	0
dPa_c::level_c::scaleCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::simpleCallback_c	0	arm9	0
dPa_c::level_c::splashCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::simpleCallback_c	0		0
dExtAnm2Model_c	DONE	include\ModelAnim2.h  [alias: header uses pre-rename name]	dExtAnmModel_c	0	arm9	5
dExtBlendAnmModel_c	DONE	include\BlendModelAnim.h  [alias: header uses pre-rename name]	dExtAnmModel_c	0	arm9	10
dFdColor_c	DONE	include\FaderColor.h  [alias: header uses pre-rename name]	dFdBrightness_c	3	arm9	4
dBgW_KcMbg	DONE	include\dBgW_KcMbg.h	dBgW_Kc	1	arm9	16
dCcAcPos_c	DONE	include\dCcAcPos_c.h	dCcAc_c	0	arm9	6
dMgTrmpln2Mario_c	MISSING	include/dMgTrmpln2Mario_c.h (MISSING)	dMgTrmpRingObjAdapter_c	0	ov006	0
abi::__si_class_type_info	MISSING	include/abi.h (outer header, nested class MISSING)	abi::__class_type_info	0	arm9	0
abi::__vmi_class_type_info	MISSING	include/abi.h (outer header, nested class MISSING)	abi::__class_type_info	0	arm9	0
dBgActor_c	DONE	include\dBgActor_c.h	dActor_c	101	ov002	10
dEnemyBase_c	DONE	include\dEnemyBase_c.h	dActor_c	55	ov002	14
daBar_c	DONE	include\daBar_c.h	dActor_c	0	ov002	7
daBgSnmBdy_c	DONE	include\SnowmanBody.h  [alias: header uses pre-rename name]	dActor_c	0	ov072	28
daBgSnmHed_c	DONE	include\SnowmanHead.h  [alias: header uses pre-rename name]	dActor_c	0	ov072	19
daBgSnwmn_c	DONE	include\daBgSnwmn_c.h	dActor_c	0	ov072	7
daBookGen_c	DONE	include\BookShotSpawner.h  [alias: header uses pre-rename name]	dActor_c	0	ov020	5
daBrq_c	DONE	include\daBrq_c.h	dActor_c	0	ov070	18
daBtfly_c	DONE	include\Butterfly.h  [alias: header uses pre-rename name]	dActor_c	0	ov100	15
daBttBk_c	DONE	include\CrazedCrate.h  [alias: header uses pre-rename name]	dActor_c	0	ov080	9
daCamTag_c	DONE	include\daCamTag_c.h	dActor_c	0	ov002	7
daChRoom_c	DONE	include\daChRoom_c.h	dActor_c	0	ov002	7
daChScene_c	DONE	include\daChScene_c.h	dActor_c	0	ov002	7
daChair_c	DONE	include\HauntedChair.h  [alias: header uses pre-rename name]	dActor_c	0	ov020	13
daChoropu_c	DONE	include\MontyMole.h  [alias: header uses pre-rename name]	dActor_c	0	ov080	7
daCnn_c	DONE	include\Cannon.h  [alias: header uses pre-rename name]	dActor_c	0	ov098	6
daCoin_c	DONE	include\Coin.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	8
daDemo_c	DONE	include\daDemo_c.h	dActor_c	0	ov002	4
daDoor_c	DONE	include\Door.h  [alias: header uses pre-rename name]	dActor_c	0	ov100	7
daDossyCap_c	DONE	include\daDossyCap_c.h	dActor_c	0	ov065	6
daDossy_c	DONE	include\Dorrie.h  [alias: header uses pre-rename name]	dActor_c	0	ov065	6
daECreate_c	DONE	include\EnemySpawner.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	5
daESwitch_c	DONE	include\EnemySwitchTag.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	5
daEyBm_c	DONE	include\daEyBm_c.h	dActor_c	0	ov071	12
daEykn_c	DONE	include\MrI.h  [alias: header uses pre-rename name]	dActor_c	0	ov071	7
daFRing_c	DONE	include\BowserShockwaves.h  [alias: header uses pre-rename name]	dActor_c	0	ov060	6
daFeather_c	DONE	include\WingFeather.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	6
daFish_c	DONE	include\Fish.h  [alias: header uses pre-rename name]	dActor_c	0	ov100	7
daGmch_c	DONE	include\Moneybag.h  [alias: header uses pre-rename name]	dActor_c	0	ov081	10
daJgm_c	DONE	include\Lakitu.h  [alias: header uses pre-rename name]	dActor_c	0	ov077	10
daKinopio_c	DONE	include\Toad.h  [alias: header uses pre-rename name]	dActor_c	0	ov085	14
daKirai_c	DONE	include\SpikeBomb.h  [alias: header uses pre-rename name]	dActor_c	0	ov060	6
daKpFr_c	DONE	include\daKpFr_c.h	dActor_c	0	ov070	8
daKpaTail_c	DONE	include\BowserTail.h  [alias: header uses pre-rename name]	dActor_c	0	ov060	6
daKpa_c	DONE	include\Bowser.h  [alias: header uses pre-rename name]	dActor_c	0	ov060	7
daKrpa_c	DONE	include\daKrpa_c.h	dActor_c	0	ov070	8
daLuigi_c	DONE	include\MirrorLuigi.h  [alias: header uses pre-rename name]	dActor_c	0	ov055	7
daMcFlag_c	DONE	include\daMcFlag_c.h	dActor_c	0	ov009	6
daMky_c	DONE	include\Ukiki.h  [alias: header uses pre-rename name]	dActor_c	0	ov030	9
daMugenBGM_c	DONE	include\MugenBgm.h  [alias: header uses pre-rename name]	dActor_c	0	ov002	7
