class_name	shard_count	total_lines	overlay	has_header	already_promoted	blockers	sibling_oracle
Spindrift	12	421	ov081	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
Snowball+daSnowman_c	12	261	ov081	yes	no	multi-class-tu:2;owns-vtable:4syms(needs production_mode=intact-object);classif:no-header:daSnowman_c	-
MantaRay+daMenbo_c	12	505	ov090	yes	no	multi-class-tu:2;owns-vtable:4syms(needs production_mode=intact-object)	-
Shark+daPukupuku_c	12	304	ov090	yes	no	multi-class-tu:2;owns-vtable:4syms(needs production_mode=intact-object);classif:no-header:daPukupuku_c	-
PoppingLavaBubbles+daObjLava_c	4	63	ov002	yes	no	multi-class-tu:2;owns-vtable:3syms(needs production_mode=intact-object);classif:no-header:daObjLava_c	daBar_c
StarCamera	1	10	ov002	unknown	no	-	daBar_c
Bully	10	238	ov064	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Gura_c
MirrorLuigi	11	276	ov055	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
RotatingUpDownPlatformUtm	11	549	ov091	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
RotatingUpDownPlatform	11	316	ov091	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
UpDownLiftBbh	11	347	ov095	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
VolcanoFire+daObjFlMaruta_c	9	156	ov022	yes	no	multi-class-tu:2;owns-vtable:3syms(needs production_mode=intact-object);classif:no-header:daObjFlMaruta_c	daObjFl_Fall_Block_c
FireSeaElevator	6	168	ov045	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	PoleLift
Stump	10	286	ov091	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
MontyMole+MontyMoleRock	24	855	ov080	unknown	no	multi-class-tu:2;owns-vtable:2syms(needs production_mode=intact-object)	-
IceBlock	9	318	ov081	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
dMgState_c	4	91	ov004	unknown	no	-	dScMgBase_c
ClockPaintingHandShort	7	99	ov013	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjClockHuriko_c
ShipUp	7	136	ov016	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjKi_Ita_c
SlidingBox	7	189	ov016	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjKi_Ita_c
LavaBridge	7	158	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
LavaSeesaw	7	147	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
SlidingIce	7	190	ov027	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daIDonketu_c
RickshawBdw	4	79	ov043	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjKm1_Ukishima_c
FloatingFloorBfs	4	71	ov045	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	PoleLift
BigBully	7	209	ov064	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Gura_c
Clam	7	221	ov064	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Gura_c
PyramidStep	8	176	ov025	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
SpinningPlatform	8	186	ov035	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
BillBlaster	8	260	ov079	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
FortressWall	8	210	ov079	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
VolcanoRing	6	210	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
FloatOnLavaPlatform	6	131	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
LavaPlank	6	118	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
SquarePathLift	6	165	ov052	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjEmmLog_c
BowserPuzzleManager+BowserPuzzlePiece	21	391	ov064	unknown	no	multi-class-tu:2;owns-vtable:2syms(needs production_mode=intact-object)	daObjFl_Gura_c
TinyCover	7	128	ov033	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
RollingLogLll	5	70	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
BowserShutter	6	96	ov026	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
TinyWater	6	138	ov033	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
RotatingCogSmall	6	194	ov035	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
BigMovingIceBlock	6	187	ov056	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
WallSign	6	201	ov085	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
SlidingPlatformWf	6	171	ov091	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
Thwomp	6	203	ov091	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
FortressTower	6	169	ov102	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
dScMgJump2_c+dScMgJump_c	1	934	ov006	yes	no	multi-class-tu:2;owns-vtable:6syms(needs production_mode=intact-object);already-one-legacy-file:src/actors/d_sc_mg_jump2.cpp(needs manifest registration, not a shard merge)	dScMgSingle3DBase_c
FloatingFloorLllSmall	4	87	ov022	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Fall_Block_c
Submarine	5	94	ov026	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
dScGameOver_c	9	483	ov003	yes	no	pragma:1;owns-vtable:3syms(needs production_mode=intact-object)	-
Skeeter	24	1041	ov090	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
SnowmanBreath+SnowmanBreathParticle	16	450	ov027	unknown	no	multi-class-tu:2;owns-vtable:1syms(needs production_mode=intact-object)	daIDonketu_c
Minimap	11	1104	ov002	unknown	no	pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
Fish	17	436	ov100	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjPathLift_c
Butterfly	15	662	ov100	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	daObjPathLift_c
MadPiano	16	468	ov063	unknown	no	pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	-
SpikeBomb	15	391	ov060	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
Toad	14	644	ov085	unknown	no	pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	-
JetStream+daObjFl_Puzzle_c	11	379	ov064	yes	no	pragma:1;multi-class-tu:2;owns-vtable:4syms(needs production_mode=intact-object);classif:no-header:daObjFl_Puzzle_c	daObjFl_Gura_c
BulletBill	10	418	ov079	unknown	no	pragma:1;owns-vtable:1syms(needs production_mode=intact-object)	-
SeesawBob	10	229	ov095	unknown	no	pragma:2;owns-vtable:1syms(needs production_mode=intact-object)	-
