actor_id	profile_id	profile_id_source	debug_string_address	candidate_ordinal	registry_candidate_count	overlay_ambiguous	overlay	profile_address	current_profile_name	proposed_profile_name	descriptor_layout	profile_index	profile_index_matches_actor_id	execute_order	draw_order	group_flags	group_flags_evidence	actor_flags	clip_offset_y	clip_radius	clip_distance	far_distance	factory_module	factory_address	current_factory_name	current_factory_file	proposed_factory_name	factory_shape	alloc_size	installed_vtable	class_name	class_name_source	proposed_factory_collision	class_filename_candidate	tu_start	tu_end	profile_rename_recommended	factory_rename_recommended	recommendation_evidence
329	SECRET_COIN	symbols/actor_debug_names.tsv (literal ROM string table)	0x020903bc	1	1	False	ov002	0x0210b00c	InvisibleSecret_SpawnInfo	g_profile_SECRET_COIN	actor_profile_0x1c	329	True	329	330		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000000	0x00000000	0x00320000	0x01f40000	0x00050000	ov002	0x020f085c	daSCoin_c_Spawn	src/daSCoin_c_Spawn.c	daSCoin_c_classInit	new_plus_inlined_ctor	0x00000114	0x0210b030	daSCoin_c	SM64DS RTTI ov002:0x0210b000		d_a_s_coin.cpp	0x20f03c4	0x20f0894	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
330	OBJ_NUMBER	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208ff3c	1	1	False	ov002	0x0210b0c8	Number_SpawnInfo	g_profile_OBJ_NUMBER	actor_profile_0x1c	330	True	330	332		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x04800000	0x00000000	0x0000a000	0x00000000	0x00000000	ov002	0x020f0d90	Number_Spawn	src/Number_Spawn.c	daObjNumber_c_classInit	new_plus_inlined_ctor	0x00000150	0x0210b0ec	daObjNumber_c	SM64DS RTTI ov002:0x0210b0ac		d_a_obj_number.cpp	0x20f0894	0x20f0dd0	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
331	OBJ_1UPLOGO	symbols/actor_debug_names.tsv (literal ROM string table)	0x020901a0	1	1	False	ov002	0x0210b188	OneUpLogo_SpawnInfo	g_profile_OBJ_1UPLOGO	actor_profile_0x1c	331	True	331	333		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x04800000	0x00000000	0x0000a000	0x00000000	0x00000000	ov002	0x020f1170	OneUpLogo_Spawn	src/OneUpLogo_Spawn.c	daObj1UpLogo_c_classInit	new_plus_inlined_ctor	0x00000150	0x0210b1ac	daObj1UpLogo_c	SM64DS RTTI ov002:0x0210b168		d_a_obj1_up_logo.cpp	0x20f0dd0	0x20f11b0	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
332	CAMERA	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f7e0	1	1	False	arm9	0x02086d78	Camera_SpawnInfo	g_profile_CAMERA	actor_profile_0x1c	332	True	332	0		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x020084b0	0x00000000	0x020078c4	0x00000000	0x02009e70	arm9	0x0200e444	Camera_Spawn	src/Camera_Spawn.cpp	dCamera_c_classInit	new_plus_inlined_ctor	0x000001a8	0x02086f84	dCamera_c	SM64DS RTTI arm9:0x02086ee4		d_camera.cpp	0x20049f0	0x20707a4	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
333	CAMERA_TAG	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208ff78	1	1	False	ov002	0x02108518	CameraTag_SpawnInfo	g_profile_CAMERA_TAG	actor_profile_0x1c	333	True	333	1		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000000	0x00000000	0x00000000	0x00000000	0x00000000	ov002	0x020b07c8	CameraTag_Spawn	src/CameraTag_Spawn.c	daCamTag_c_classInit	new_plus_inlined_ctor	0x000000d4	0x0210853c	daCamTag_c	SM64DS RTTI ov002:0x021084fc		d_a_cam_tag.cpp	0x20b0748	0x20b07f8	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
334	METER	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f710	1	1	False	ov002	0x0210c210	_ZN3HUD9spawnDataE	g_profile_METER	base_profile_0x08	334	True	334	334		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov002	0x020fe154	HUD_Spawn	src/HUD_Spawn.cpp	dMeter_c_classInit	new_plus_inlined_ctor	0x0000007c	0x0210c2c8	dMeter_c	SM64DS RTTI ov002:0x0210c224		d_meter.cpp	0x20fb8f8	0x20fe190	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
335	MAP	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f67c	1	1	False	ov002	0x0210c160	_ZN7Minimap9spawnDataE	g_profile_MAP	actor_profile_0x1c	335	True	335	335		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x0209a764	0x0210c158	0x02086e78	0x020ab800	0x020ab820	ov002	0x020fb8bc	Minimap_Spawn	src/Minimap_Spawn.cpp	dMap_c_classInit	new_plus_inlined_ctor	0x00000258	0x0210c1c0	dMap_c	SM64DS RTTI ov002:0x0210c168		d_map.cpp	0x20f975c	0x20fb8f8	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
336	BUTTERFLY	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208fc60	1	1	False	ov100	0x02147e78	Butterfly_SpawnInfo	g_profile_BUTTERFLY	actor_profile_0x1c	336	True	336	336		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00010002	0x00032000	0x00032000	0x01000000	0x00320000	ov100	0x02141ea4	Butterfly_Spawn	src/Butterfly_Spawn.c	daBtfly_c_classInit	new_plus_inlined_ctor	0x000003f4	0x02147e9c	daBtfly_c	SM64DS RTTI ov100:0x02147e6c		d_a_btfly.cpp	0x2140d80	0x2141f04	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
337	WANWAN2	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f8a8	1	1	False	ov100	0x02148030	UnchainedChomp_SpawnInfo	g_profile_WANWAN2	actor_profile_0x1c	337	True	337	337		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x10000002	0x00190000	0x00190000	0x01f40000	0x01f40000	ov100	0x021442dc	UnchainedChomp_Spawn	src/UnchainedChomp_Spawn.cpp	daWanwan2_c_classInit	new_plus_inlined_ctor	0x000007a4	0x02148054	daWanwan2_c	SM64DS RTTI ov100:0x02148014		d_a_wanwan2.cpp	0x21431c4	0x21443f4	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
338	MC_WATER	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f9f0	1	1	False	ov009	0x021139f4	CastleWater_SpawnInfo	g_profile_MC_WATER	actor_profile_0x1c	338	True	338	338		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000000	0x00000000	0x00320000	0x01f40000	0x00050000	ov009	0x02111d8c	CastleWater_Spawn	src/CastleWater_Spawn.c	daObjMcWater_c_classInit	new_plus_inlined_ctor	0x00000338	0x02113a18	daObjMcWater_c	SM64DS RTTI ov009:0x021139d4		d_a_obj_mc_water.cpp	0x2111a70	0x2111dc4	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
