module	addr	old	new	why
ov098	0x02137dbc	func_ov098_02137dbc	_ZN14ArrowSignRight16CleanupResourcesEv	vtable slot 3
ov098	0x02137e20	func_ov098_02137e20	_ZN14ArrowSignRight6RenderEv	vtable slot 9
ov098	0x02137e48	func_ov098_02137e48	_ZN14ArrowSignRight8BehaviorEv	vtable slot 6
ov098	0x02137eec	func_ov098_02137eec	_ZN14ArrowSignRight13InitResourcesEv	vtable slot 0
ov098	0x02137fd0	func_ov098_02137fd0	ArrowSignRight_Spawn	spawnfunc
ov098	0x02138008	func_ov098_02138008	ArrowSignLeft_Spawn	spawnfunc
ov098	0x02138040	func_ov098_02138040	_ZN5CrateD1Ev	vtable slot 16
ov098	0x021380bc	func_ov098_021380bc	_ZN5CrateD0Ev	vtable slot 17
ov098	0x02139a50	func_ov098_02139a50	_ZN5Crate16CleanupResourcesEv	vtable slot 3
ov098	0x02139aa8	func_ov098_02139aa8	_ZN5Crate6RenderEv	vtable slot 9
ov098	0x02139b0c	func_ov098_02139b0c	_ZN5Crate8BehaviorEv	vtable slot 6
ov098	0x02139d14	func_ov098_02139d14	_ZN5Crate13InitResourcesEv	vtable slot 0
ov098	0x02139f04	func_ov098_02139f04	Crate_Spawn	spawnfunc
ov098	0x0213a900	func_ov098_0213a900	_ZN6CannonD1Ev	vtable slot 16
ov098	0x0213a938	func_ov098_0213a938	_ZN6CannonD0Ev	vtable slot 17
ov098	0x0213b1d8	func_ov098_0213b1d8	_ZN6Cannon16CleanupResourcesEv	vtable slot 3
ov098	0x0213b214	func_ov098_0213b214	_ZN6Cannon6RenderEv	vtable slot 9
ov098	0x0213b26c	func_ov098_0213b26c	_ZN6Cannon8BehaviorEv	vtable slot 6
ov098	0x0213b2d4	func_ov098_0213b2d4	_ZN6Cannon13InitResourcesEv	vtable slot 0
ov098	0x0213b43c	func_ov098_0213b43c	Cannon_Spawn	spawnfunc
ov098	0x0213b47c	func_ov098_0213b47c	_ZN9WaterBombD1Ev	vtable slot 16
ov098	0x0213b4c4	func_ov098_0213b4c4	_ZN9WaterBombD0Ev	vtable slot 17
ov098	0x0213bb9c	func_ov098_0213bb9c	_ZN9WaterBomb16CleanupResourcesEv	vtable slot 3
ov098	0x0213bbe4	func_ov098_0213bbe4	_ZN9WaterBomb6RenderEv	vtable slot 9
ov098	0x0213bc20	func_ov098_0213bc20	_ZN9WaterBomb8BehaviorEv	vtable slot 6
ov098	0x0213bd14	func_ov098_0213bd14	_ZN9WaterBomb13InitResourcesEv	vtable slot 0
ov098	0x0213bf10	func_ov098_0213bf10	WaterBomb_Spawn	spawnfunc
ov098	0x0213c398	data_ov098_0213c398	ArrowSignLeft_SpawnInfo	spawninfo
ov098	0x0213c3b4	data_ov098_0213c3b4	ArrowSignRight_SpawnInfo	spawninfo
ov098	0x0213c3d8	data_ov098_0213c3d8	_ZTV14ArrowSignRight	vtable alloc=0x380
ov098	0x0213c434	data_ov098_0213c434	MgShellSmash_SpawnInfo	spawninfo
ov098	0x0213c510	data_ov098_0213c510	Crate_SpawnInfo	spawninfo
ov098	0x0213c534	data_ov098_0213c534	_ZTV5Crate	vtable alloc=?
ov098	0x0213c67c	data_ov098_0213c67c	Cannon_SpawnInfo	spawninfo
ov098	0x0213c6a0	data_ov098_0213c6a0	_ZTV6Cannon	vtable alloc=0x198
ov098	0x0213c74c	data_ov098_0213c74c	WaterBomb_SpawnInfo	spawninfo
ov098	0x0213c770	data_ov098_0213c770	_ZTV9WaterBomb	vtable alloc=0x3cc
ov100	0x02140d80	func_ov100_02140d80	_ZN9ButterflyD1Ev	vtable slot 16
ov100	0x02140dd8	func_ov100_02140dd8	_ZN9ButterflyD0Ev	vtable slot 17
ov100	0x02141988	func_ov100_02141988	_ZN9Butterfly16CleanupResourcesEv	vtable slot 3
ov100	0x021419d0	func_ov100_021419d0	_ZN9Butterfly16OnPendingDestroyEv	vtable slot 12
ov100	0x021419d4	func_ov100_021419d4	_ZN9Butterfly6RenderEv	vtable slot 9
ov100	0x02141a40	func_ov100_02141a40	_ZN9Butterfly8BehaviorEv	vtable slot 6
ov100	0x02141c6c	func_ov100_02141c6c	_ZN9Butterfly13InitResourcesEv	vtable slot 0
ov100	0x02141ea4	func_ov100_02141ea4	Butterfly_Spawn	spawnfunc
ov100	0x02141f04	func_ov100_02141f04	_ZN15RollingIronBallD1Ev	vtable slot 16
ov100	0x02141f4c	func_ov100_02141f4c	_ZN15RollingIronBallD0Ev	vtable slot 17
ov100	0x02142d1c	func_ov100_02142d1c	_ZN15RollingIronBall16CleanupResourcesEv	vtable slot 3
ov100	0x02142d5c	func_ov100_02142d5c	_ZN15RollingIronBall6RenderEv	vtable slot 9
ov100	0x02142d98	func_ov100_02142d98	_ZN15RollingIronBall8BehaviorEv	vtable slot 6
ov100	0x02142de0	func_ov100_02142de0	_ZN15RollingIronBall13InitResourcesEv	vtable slot 0
ov100	0x0214316c	func_ov100_0214316c	RollingIronBall_Spawn	spawnfunc
ov100	0x021431c4	func_ov100_021431c4	_ZN14UnchainedChompD1Ev	vtable slot 16
ov100	0x02143290	func_ov100_02143290	_ZN14UnchainedChompD0Ev	vtable slot 17
ov100	0x02143cb0	func_ov100_02143cb0	_ZN14UnchainedChomp16CleanupResourcesEv	vtable slot 3
