152	KM3_KURUMAJIKU	0x2090638
153	KM3_DORIFU	0x208ff84
154	KM3_DERU01	0x208ff90
155	KM3_DERU02	0x208ff9c
156	KM3_KAITENDAI	0x2090548
157	KM3_LIFT	0x208f9c0
158	BOOKSHELF	0x208fc30
159	MERRYGOROUND	0x20903f8
160	TERESAPIT	0x208fc3c
161	DOSUN	0x208f738
162	DONKAKU	0x208f890
163	DONGURU	0x208f870
164	BATAN	0x208f790
165	BATANKING	0x208fc54
166	KOOPA2BG	0x208f9a8
167	KOOPA3BG	0x208f9cc
168	DOSSY	0x208f750
169	DOSSY_CAP	0x208fc78
170	EWB_ICE_A	0x208ff18
171	EWB_ICE_B	0x208fc84
172	EWB_ICE_C	0x208fc90
173	EWM_ICE_BLOCK	0x2090558
174	EMM_LOG	0x208f980
175	EMM_YUKA	0x208f9fc
176	IWANTE	0x208f798
177	STAR_CAMERA	0x20901f4
178	STAR	0x208f680
179	SILVER_STAR	0x209020c
180	STARBASE	0x208fa20
181	RED_BOMBHEI	0x2090218
182	PL_CLOSET	0x208fca8
183	KANBAN	0x208f860
184	TATEFUDA	0x208fa44
185	KINOPIO	0x208f8b8
186	PEACH_PRINCESS	0x2090668
187	MIP	0x208f678
188	RACE_NOKO	0x208fcc0
189	BOMBKING	0x208fb10
190	HOLHEI	0x208f838
191	PLAYER	0x208f858
192	PUSHBLOCK	0x208fce4
193	BATTA_BLOCK	0x209023c
194	BLOCK_S	0x208f918
195	LUIGI	0x208f728
196	LAVA	0x208f6b0
197	WATERFALL	0x208fd08
198	KURIKING	0x208fac8
199	KURIKING_VANISH	0x2090738
200	KURIBO	0x208f7d8
201	KURIBO_S	0x208fa74
202	KURIBO_L	0x208fbac
203	NOKONOKO	0x208fab0
204	NOKONOKO_S	0x209014c
205	RACE_FLAG	0x208fe94
206	BOMBHEI	0x208f8c0
207	CANNON	0x208f848
208	WATERBOMB	0x208fde0
209	TERESA	0x208f7a8
210	BOSS_TERESA	0x2090284
211	ICON_TERESA	0x209029c
212	T_BASKET	0x208f9b4
213	BOOK_SWITCH	0x20902a8
214	BUBBLE	0x208f850
215	DONKETU	0x208f8e8
216	BOSS_DONKETU	0x2090458
217	ICE_DONKETU	0x20902c0
218	KING_DONKETU	0x2090478
219	WANWAN	0x208f810
220	IRONBALL	0x208fa5c
221	GORO_ROCK	0x208fda4
222	KILLER	0x208f7f8
223	SNOWMAN	0x208f950
224	SNOWBALL	0x208fb4c
