0x02010130	_ZN5Actor15OnHitByMegaCharER6Player	function
0x02010134	_ZN5Actor24OnHitByCannonBlastedCharERS_	function
0x02010138	_ZN5Actor8OnPushedERS_	function
0x0201013c	_ZN5Actor8OnKickedERS_	function
0x02010140	_ZN5Actor11OnAttacked2ERS_	function
0x02010144	_ZN5Actor11OnAttacked1ERS_	function
0x02010148	_ZN5Actor15OnGroundPoundedERS_	function
0x0201014c	_ZN5Actor9Virtual50Ev	function
0x02010154	_ZN5Actor13OnTurnIntoEggER6Player	function
0x02010160	_ZN5Actor13OnYoshiTryEatEv	function
0x02010168	_ZN5Actor10EarthquakeERK7Vector35Fix12IiE	function
0x02010180	_ZN5Actor11UpdateCarryER6PlayerRK7Vector3	function
0x020102b0	_ZN5Actor13SpawnFireballERK7Vector3PK10Vector3_165Fix12IiES7_j	function
0x02010374	_ZN5Actor18FindExplosionActorER12CylinderClsn	function
0x020103b4	_ZN5Actor7FindEggER12CylinderClsn	function
0x020103f4	_ZN5Actor14GetSubtractionEss	function
0x02010428	_ZN5Actor12ReflectAngleE5Fix12IiES1_s	function
0x0201045c	_ZN5Actor15IsPlayerInRangeERK7Vector3i	function
0x02010498	_ZN5Actor15IsPlayerInRangeE5Fix12IiES1_S1_i	function
0x020104dc	_ZN5Actor15IsPlayerInRangeEi	function
0x02010518	_ZN5Actor24BumpedUnderneathByPlayerER6Player	function
0x0201054c	_ZN5Actor16JumpedOnByPlayerER12CylinderClsnR6Player	function
0x0201061c	_ZN5Actor15GivePlayerCoinsER6Playerhj	function
0x02010714	_ZN5Actor10SpawnCoinsERK7Vector3j5Fix12IiEs	function
0x020108c4	_ZN5Actor18ClosestWithActorIDEj	function
0x0201092c	_ZN5Actor18HorzAngleToFPlayerEv	function
0x02010958	_ZN5Actor14FarthestPlayerEv	function
0x0201097c	_ZN5Actor23HorzAngleToCPlayerOrAngEv	function
0x020109b8	_ZN5Actor18HorzAngleToCPlayerEv	function
0x020109e4	_ZN5Actor13DistToCPlayerEv	function
0x02010a08	_ZN5Actor22ClosestNonVanishPlayerEv	function
0x02010ad8	_ZN5Actor13ClosestPlayerEv	function
0x02010b9c	_ZN5Actor18DropShadowScaleXYZER11ShadowModelR9Matrix4x35Fix12IiES5_S5_j	function
0x02010be8	_ZN5Actor19DropShadowRadHeightER11ShadowModelR9Matrix4x35Fix12IiES5_j	function
0x02010c30	_ZN5Actor9UpdatePosEP12CylinderClsn	function
